"Condition","Line","EvoTime","Replicate","Weighted_mean_radius"
"PM",NA,"t0","anc",26.0005990247715
"PM",NA,"t0","A",26.411260874882
"PM",NA,"t0","B",30.0440402804142
"PM",NA,"t0","C",28.2069732068227
"PM",NA,"t0","D",26.2308721420099
"PM",1,"t1000","anc",44.6814163110708
"PM",1,"t1000","A",28.7942997849103
"PM",1,"t1000","B",23.4126083713338
"PM",1,"t1000","C",28.7587023154312
"PM",1,"t1000","D",28.3610049976743
"PM",2,"t1000","anc",35.1110207658729
"PM",2,"t1000","A",27.5207586768721
"PM",2,"t1000","B",35.5601917490185
"PM",2,"t1000","C",36.675452479803
"PM",2,"t1000","D",36.2764094403706
"PM",3,"t1000","anc",38.7880546080843
"PM",3,"t1000","A",39.0282605830163
"PM",3,"t1000","B",34.4315894295175
"PM",3,"t1000","C",38.5846337377616
"PM",3,"t1000","D",35.3826910592456
"PM",4,"t1000","anc",44.8402732895434
"PM",4,"t1000","A",44.5047931645359
"PM",4,"t1000","B",44.1297215868407
"PM",4,"t1000","C",41.9277990807778
"PM",4,"t1000","D",41.6989189078385
"PM",5,"t1000","anc",46.8539530972377
"PM",5,"t1000","A",28.5487510504353
"PM",5,"t1000","B",28.6465733353229
"PM",5,"t1000","C",28.1989428064532
"PM",5,"t1000","D",30.2014161231319
"PA",NA,"t0","anc",20.4481615376352
"PA",NA,"t0","A",20.5032980395154
"PA",NA,"t0","B",20.4834416032202
"PA",NA,"t0","C",20.7432450401578
"PA",NA,"t0","D",18.3041205035575
"PA",1,"t1000","anc",198.809584040223
"PA",1,"t1000","A",46.8224669287358
"PA",1,"t1000","B",37.2441147851234
"PA",1,"t1000","C",36.9019330491093
"PA",1,"t1000","D",50.1797872863657
"PA",2,"t1000","anc",166.801944042074
"PA",2,"t1000","A",52.5758070734453
"PA",2,"t1000","B",48.7916004864456
"PA",2,"t1000","C",43.5439164375508
"PA",2,"t1000","D",52.108669951035
"PA",3,"t1000","anc",376.158665513714
"PA",3,"t1000","A",49.9991480769013
"PA",3,"t1000","B",32.363785983498
"PA",3,"t1000","C",46.7013649271546
"PA",3,"t1000","D",40.5622517445846
"PA",4,"t1000","anc",265.563791550738
"PA",4,"t1000","A",40.0659184903879
"PA",4,"t1000","B",36.76207223228
"PA",4,"t1000","C",42.1296118580215
"PA",4,"t1000","D",38.6481798126583
"PA",5,"t1000","anc",237.961022698923
"PA",5,"t1000","A",58.9807358457162
"PA",5,"t1000","B",58.6120985987872
"PA",5,"t1000","C",58.8758051004349
"PA",5,"t1000","D",59.4965326262842
