"Condition","Ploidy","Replicate","Cluster.Weighted_mean_radius","Cell.Mean_volume","Cell.Mean_AR"
"PM","2N","Rep1",25.9015327632029,77.9780531391839,1.28589823982398
"PM","2N","Rep2",25.652145738923,78.242324177328,1.24959421734796
"PM","2N","Rep3",25.9953045446144,77.8445751686044,1.25796993464052
"PM","2N","Rep4",26.0122235794026,72.805285804915,1.26972656641604
"PM","4N","Rep1",42.9196172428417,156.863613046626,1.39033659359191
"PM","4N","Rep2",41.6574156447922,149.415062189863,1.41691403438625
"PM","4N","Rep3",42.1484983557284,153.518647815231,1.40457042869641
"PM","4N","Rep4",44.8641803557419,151.681677340963,1.40837540141297
"PA","2N","Rep1",19.8444290379343,59.1603279128421,1.22465654862282
"PA","2N","Rep2",20.1627116560773,65.2336739801809,1.20543374902572
"PA","2N","Rep3",20.3545789322256,65.769546752353,1.21200811359026
"PA","2N","Rep4",20.2662524344253,58.652067043232,1.2413100676819
"PA","4N","Rep1",27.4615859025569,137.532495972238,1.32161040787623
"PA","4N","Rep2",27.768368124696,132.296462009497,1.32987978142077
"PA","4N","Rep3",27.1597947367487,126.88381723666,1.35911007667032
"PA","4N","Rep4",26.8048977643871,115.790870132475,1.3401873747495
