"Condition","Line","EvoTime","Chr","DS_dCCN_sign","Count"
"PA",1,"t600","XVI","Gain",1
"PA",1,"t1000","VIII","Loss",2
"PA",1,"t1000","IX","Loss",1
"PA",1,"t1000","XII","Gain",1
"PA",1,"t1000","XIV","Loss",1
"PA",1,"t1000","XVI","Gain",1
"PA",2,"t600","I","Loss",1
"PA",2,"t600","II","Loss",1
"PA",2,"t600","VIII","Loss",1
"PA",2,"t600","XIV","Loss",1
"PA",2,"t600","XV","Loss",2
"PA",2,"t1000","VIII","Loss",1
"PA",2,"t1000","XIV","Loss",2
"PA",2,"t1000","XV","Loss",1
"PA",3,"t1000","VIII","Loss",1
"PA",3,"t1000","IX","Loss",1
"PA",3,"t1000","XII","Gain",1
"PA",3,"t1000","XIV","Loss",1
"PA",3,"t1000","XV","Loss",1
"PA",3,"t1000","XVI","Gain",1
"PA",4,"t600","II","Loss",2
"PA",4,"t600","III","Gain",2
"PA",4,"t600","X","Loss",1
"PA",4,"t600","XII","Gain",1
"PA",4,"t600","XIII","Gain",2
"PA",4,"t600","XIV","Loss",2
"PA",4,"t600","XVI","Gain",2
"PA",4,"t1000","III","Loss",1
"PA",4,"t1000","V","Loss",1
"PA",4,"t1000","VIII","Loss",2
"PA",4,"t1000","X","Loss",1
"PA",4,"t1000","XIV","Loss",2
"PA",5,"t600","IV","Loss",3
"PA",5,"t600","VIII","Loss",2
"PA",5,"t600","IX","Loss",1
"PA",5,"t1000","VIII","Loss",2
"PA",5,"t1000","XII","Gain",2
"PA",5,"t1000","XIV","Loss",1
