"Condition","Line","EvoTime","Chr","Macro_dCCN_sign"
"PA",1,"t600",3,"Loss"
"PA",1,"t600",14,"Gain"
"PA",1,"t1000",3,"Loss"
"PA",1,"t1000",14,"Gain"
"PA",1,"t1000",9,"Gain"
"PA",2,"t600",3,"Gain"
"PA",2,"t600",8,"Gain"
"PA",2,"t600",9,"Gain"
"PA",2,"t600",15,"Gain"
"PA",2,"t1000",3,"Gain"
"PA",2,"t1000",8,"Gain"
"PA",2,"t1000",9,"Gain"
"PA",2,"t1000",15,"Gain"
"PA",3,"t1000",8,"Gain"
"PA",4,"t600",2,"Gain"
"PA",4,"t600",7,"Gain"
"PA",4,"t600",8,"Gain"
"PA",4,"t600",9,"Gain"
"PA",4,"t600",10,"Gain"
"PA",4,"t600",14,"Gain"
"PA",4,"t1000",2,"Gain"
"PA",4,"t1000",7,"Gain"
"PA",4,"t1000",9,"Gain"
"PA",4,"t1000",10,"Gain"
"PA",4,"t1000",14,"Gain"
"PA",5,"t600",5,"Loss"
"PA",5,"t600",9,"Gain"
"PA",5,"t600",12,"Loss"
"PA",5,"t600",13,"Loss"
"PA",5,"t600",14,"Loss"
"PA",5,"t600",16,"Loss"
"PA",5,"t1000",3,"Loss"
"PA",5,"t1000",9,"Gain"
"PA",5,"t1000",12,"Loss"
"PA",5,"t1000",14,"Gain"
